Sense	Concepticon_ID	Concepticon_Gloss
Knabe, Jüngling, Sohn, Knecht	1620	SON
mächtig, möglich, stark, Herrscher	785	STRONG
Macht, Kraft, Vermögen, Wundertat	2526	POWER
Tausch		
tauschen, verfälschen, Schacher treiben	2509	EXCHANGE
Mist, Dünger		
Runzel		
Pergament		
gemein, gemeinsam		
mehr, vielmehr	1992	MORE
höchstens		
meiste, größte, höchste		
Schneiden	1432	CUT
schneiden, hauen	1432	CUT
Gabe, Geschenk	2982	GIFT
verkrüppelt, verwundet		
größere		
mehr	1992	MORE
stark	785	STRONG
mahlen	1033	GRIND
Sand	671	SAND
Motte	2828	MOTH
töricht		
Auflösung		
auflösen		
malmen		
Fleisch	634	MEAT
Mammon, Reichtum	2996	WEALTH
Mensch	683	PERSON
Menge, Überfluss	2987	AMOUNT
Menge, Volk	789	PEOPLE
mannigfaltig		
mehren, vermehren		
reichlich vorhanden sein, Überfluss haben		
manch, viel, über	1198	MANY
Menschenmörder		
gezähmt		
Menschensaat, Welt, Menschheit	965	WORLD
Gestalt		
Bild	3303	PICTURE (PAINTING)
Mensch, Mann, mRune	1554	MAN
Manna		
jemand	2422	SOMEONE
Menschlichkeit		
menschlich		
Bereitschaft, Mittel		
bereiten, zurechtmachen		
bereit		
bereit		
Meer	1474	SEA
der Herr kommt		
Meer	1474	SEA
Pferd	615	HORSE
Pferdeknecht		
Perle	3325	PEARL
Meersee, See	624	LAKE
Mark, Grenze	2546	BORDER
Zeichen	1720	SIGN
bezeichnen	180	CALL BY NAME
Märtyrer		
Marder		
Hochzeit	1259	WEDDING
Ärgernis		
ärgern, zum Ärgernis sein	2892	MAKE ANGRY (ANNOY)
Mast	184	MAST
Ranzen, Speisesack, Speisetasche		
essen, fressen	1336	EAT
Speise, Proviant, Mahl	256	FOOD
Wurm, Made	1219	WORM
gut	1035	GOOD
Versammlungsort, Marktplatz, Markt	633	MARKET
Rede, Redeweise	1115	SPEECH
Redner		
reden	2708	TALK
erinnern		
ermüdet	1757	TIRED
Bauch	1251	BELLY
Mohren...		
Morgen	1339	MORNING
kürzen		
kurz	1645	SHORT
sorgen für, besorgt sein		
Mord	845	MURDER
Mörder	3871	MURDERER
morden		
Mädchen, Jungfrau	1646	GIRL
Mädchen, Jungfrau	1646	GIRL
45		
Eidam, Schwiegersohn	1056	SON-IN-LAW
mein	2090	MY
Schwert		
Zeit, Stunde	892	TIME
Schrift, Mal, Zeichen, Schriftzeichen	1720	SIGN
Scheffel, Maß		
Schrift		
Schrift		
schreiben, aufschreiben	1672	WRITE
Mond	1313	MOON
Monat	1370	MONTH
groß	1202	BIG
Kunde, Ruf	2944	CALL (APPEAL)
Verkündigung, Predigt		
groß, berühmt	1202	BIG
Gerücht, Kunde		
künden, kund tun, verkünden, das Evangelium verkünden		
Verkündiger, Prediger, Herold		
bekannt werden		
Tisch, Schüssel, Platte	1775	TABLE
Maß		
Zwischenwand		
Überflutung, Sintflut, Überschwemmung		
mittlere, mitten		
die bewohnte Erde, Erdkreis		
Mitte	1093	MIDDLE
vermitteln		
Mittler		
Met		
sehr, groß	1202	BIG
Größe	2845	SIZE (OF OBJECT)
Größe	2845	SIZE (OF OBJECT)
preisen		
verherrlicht werden		
groß, stark, viel	785	STRONG
hochmütig		
mild, freundlich		
Milde, Herz, Mitleid	1223	HEART
Wolke	1489	CLOUD
Kriegsdienste tun		
Honig	942	HONEY
schmelzen, sich auflösen	2334	MELT
Milz	1744	SPLEEN
Milch	635	MILK
Fleisch	634	MEAT
Denken	2271	THINK
kleinste, geringste, mindeste		
kleiner, geringer		
minder, weniger, geringer		
abnehmen, sich mindern	2864	DECREASE
miss, verschieden	2504	DIFFERENT
Missetat, Sünde	2971	SIN
verschieden, mannigfaltig	2504	DIFFERENT
Zwiespalt, Missrede, Streit		
missetun		
einander, wechselseitig		
Maß		
messen	1506	MEASURE
Maß		
ermessen, bedenken, überlegen		
Überlegung, Gedanke	2975	THOUGHT
mit, bei, unter	1485	BELOW OR UNDER
sich mit zu Tische legen, lagern		
mitarbeiten, leiden mit		
sich mitfreuen		
mitgefangennehmen		
mitsterben		
mitgehen		
mitnachahmen		
mitbegraben		
mitbeleben		
sich mithinsetzen, sich zusammensetzen		
mitsterben		
miterbauen		
mitfortziehen, mitführen		
zusammenverweilen, zusammen sein		
mithineingehen		
mitentsenden		
mitbelasten		
mitleben		
mitheucheln		
mitessen		
annehmen, gelten lassen		
mitkommen		
mitsprechen, nachsprechen		
mit jemandem reden		
senden		
versetzen		
Mitknecht sein, mitdienen		
mitdisputieren, mit jemandem streiten		
zusammenstehen mit		
inzwischen		
während		
mitherrschen		
mitaufrichten		
mitaufstehen		
mit jemandem kreuzigen		
mitauskeimen, mithervorkeimen		
mitbezeugen		
beistehen, zu Hilfe kommen		
bewusst		
Mitwissen, Bewusstsein, Gewissen		
bewusst sein		
Lohn	1122	WAGES
zornig		
ermüden		
Maut, Zoll, Zollhaus		
Raum finden, Erlaubnis haben, dürfen		
Zöllner		
Mautstätte, Zollstätte, Zollhaus		
begegnen	3904	ENCOUNTER (MEET)
Zorn, Mut		
mütig		
Moder		
schimmelig, verdrießlich		
schimmeln		
Ameise	587	ANT
Nachgiebigkeit, Sanftmut		
sanftmütig		
sanft, weich	1856	SOFT
Maul		
Staub	2	DUST
von Staub, irdisch		
Schlamm	640	MUD
Maulwurf	1907	MOLE
meinen, glauben, dafür halten	1890	BELIEVE
zu tun gedenken, wollen	1784	WANT
Schutz		
sich einen besehen, sehen auf		
Ziel		
eifrig, zielstrebig		
Schutz		
Andenken, Gedächtnis	1018	MEMORY
denken, gedenken	1415	THINK (REFLECT)
Gedanke, Meinung, Vorsatz, Ratschluss, Bereitwilligkeit, guter Wille, Beschluss, Entscheidung, Vorsorge, Absicht	2975	THOUGHT
Mund	674	MOUTH
Maus	1491	MOUSE
Fledermaus	1793	BAT
n, Abkürzung für 50		
Natter		
nageln		
Nagel	502	NAIL (TOOL)
es ist erlaubt		
Abendessen, Abendmahl, Gastmahl, Nachtmahl		
Nacht	1233	NIGHT
Lästerung		
lästern	3641	SLANDER
nennen	180	CALL BY NAME
Name	1405	NAME
Kühnheit		
wagen	1779	DARE
kühn		
Nacktheit		
nackt	590	NAKED
Narde		
Rettung, Heil		
retten	2008	RESCUE
Heiland, Retter		
Nestel		
Netz, kreisrundes Wurfnetz	2963	NET
netzen, benetzen		
nass	1726	WET
reiben	1449	RUB
November	2854	NOVEMBER
Kette	1627	CHAIN
notwendig		
Notwendigkeit		
noch	2919	STILL (CONTINUING)
Genügsamkeit, Auskommen		
dürfen, erlaubt sein		
noch	2919	STILL (CONTINUING)
noch	2919	STILL (CONTINUING)
und sogar noch		
nördlich		
Toter		
nötigen, zwingen		
Not, Zwang		
tot	1625	DEAD
Grab, Totenlager	1773	GRAVE
begraben	1719	BURY
totschwören		
52		
nein, nicht	1240	NOT
Natter, Schlange	730	SNAKE
nahe	1942	NEAR
nahe	1942	NEAR
näher		
sich jemandem nähern		
Nähe		
Nächster		
nicht	1240	NOT
Neid	40	ENVY
es auf jemand abgesehen haben, grollen		
Nehmen	1749	TAKE
nehmend		
nehmend		
Nadel	1382	NEEDLE (FOR SEWING)
nicht	1240	NOT
doch nicht etwa, wenn nicht, es sei denn dass, ausgenommen		
Verzehren, Rost		
und nicht, auch nicht, nicht	1240	NOT
nehmen, annehmen, aufnehmen, empfangen, fangen	1749	TAKE
genesen, gerettet werden	1978	RECOVER
Rettung, Heil, Genesung		
helfen, unterstützen	1897	HELP
Verwandter		
Verwandte		
und dann nicht, auch dann nicht		
nicht, nicht wahr	1240	NOT
Heimsuchung		
auskundschaften, heimsuchen		
erneuern, sich erneuern		
Neubekehrter, Neuling		
neu, jung	1231	NEW
Neuheit		
Kleinmut, Unverstand		
unmündig, kindisch		
neun	1483	NINE
neunte		
Neungeld, neunfaches Entgelt		
neunzig	1724	NINETY
treffen, erreichen, einer Sache froh sein	1831	MEET
Verlangen	2117	DESIRE
genügen	3475	SUFFICE
genügen	3475	SUFFICE
genug	1881	ENOUGH
Not, nRune		
Achterdeck, Schiffshinterteil		
nun, jetzt, also, folglich, demnach	1376	NOW
denn		
Nehmer		
Nehmen, Annahme	1749	TAKE
demnach, daher, also		
Fänger, Fischer	1858	FISHERMAN
nütz, nützlich, brauchbar		
ach, oh, pfui		
hoch	1265	HIGH
fürchten	1419	FEAR (BE AFRAID)
einen schrecken, in Furcht setzen, erschrecken	252	FRIGHTEN
hosianna, hilf doch		
Ostgoten		
Stammgut, Erbsitz, oRune		
Stammgut, Erbsitz, Heimat	2406	HOME
890		
Leibrock, Unterkleid, Rock	1600	SKIRT
bekleiden		
Donnerstag	1693	THURSDAY
Pfingsten		
pRune		
Presbyter, Geistlicher		
Tröster		
Rüsttag		
Freitag	1692	FRIDAY
Spalier		
Ostern		
Purpur		
mit Purpur färben		
purpurn		
Pfote	2965	PAW
Spitze	2992	TIP (OF OBJECT)
Palmbaum		
unverfälscht, echt		
Straße	667	ROAD
Flicken, Lappen		
tanzen	1879	DANCE
Pflug	2154	PLOUGH (INSTRUMENT)
Beengung		
drängen		
Prätorium, Gerichtshaus		
Ältestenrat, christliche Gemeindebehörde		
Prophetin		
Prophet		
Weissagung, Prophezeiung		
weissagen, prophezeien		
Psalm		
Geldbeutel, Beutel	2951	POUCH
Pfund		
q, Abkürzung für 6		
weinen, trauern, beweinen, betrauern	1839	CRY
Mühle	636	MILL
Sanftmut		
sanft, freundlich	1954	GENTLE
Apfelbaum, Köder, qRune		
Pfahl, Stachel	3798	STINGER
Feuer anzünden, lebendig machen	737	LIGHT (IGNITE)
beweibt		
heiraten	203	MARRY
Eheweib, Ehefrau, Frau	962	WOMAN
aussprechbar		
Rede	1115	SPEECH
zur Ruhe kommen		
kommen	1446	COME
weiblichen Geschlechts		
Frauenzimmer, Weibchen	3923	FEMALE ANIMAL
weiblichen Geschlechts		
Weib, Frau	962	WOMAN
Rede	1115	SPEECH
Verderben	92	SPOIL (SOMEBODY OR SOMETHING)
verderben	92	SPOIL (SOMEBODY OR SOMETHING)
zugrunde gehen		
Verderbnis, Untergang		
sagen, meinen, bezeichnen, sprechen	1458	SAY
Magen	819	STOMACH
Schwangere		
schwanger	1123	PREGNANT
Magen, Mutterschoß, Bauch	1251	BELLY
beleben		
aufleben		
lebendig	1422	BE ALIVE
Feuchtigkeit		
feucht	2998	DAMP
Ankunft, Wiederkunft		
Kommen	1446	COME
r, Abkürzung für 100		
Rabboni		
Rabbi		
Rat, Beschluss		
Ratgeber, Ratsherr		
Amt	2430	OFFICE
verwalten, herrschen		
angeordnet		
Raub		
rechnen, berechnen, halten für, rechnen unter, anrechnen	2867	CALCULATE
darreichen		
Wagen, rRune	2620	CARRIAGE
Anordnung		
verordnen, darbieten		
bewegen machen, tragen	700	CARRY
recht, richtig	1725	CORRECT (RIGHT)
Richtigkeit		
Richtung, Wiederherstellung		
nämlich, doch, etwa, vielmehr, ja doch, denn		
Richtigkeit		
richten	1818	ADJUDICATE
recht, gerade, gerecht	1404	STRAIGHT
Riemen	2973	STRAP
aufrichten		
geordnet		
Rede	1115	SPEECH
Sorge	1668	GRIEF
Rechen	338	RAKE
eitler Mensch, Tor	2940	GATE
recken		
stark	785	STRONG
Haken, Kralle	1071	HOOK
Keil		
Rand	2989	FRINGE
Schild, Schildrand	1064	SHIELD
Laufen	1519	RUN
laufen machen		
raffen, rauben		
Krätze, Räude		
Ruhe	3458	SILENCE
Meile		
zählen	1420	COUNT
reden	2708	TALK
Abrechnung, Rechenschaft, Zahl	1356	NUMBER
leicht	1052	LIGHT (WEIGHT)
Raub, Beute, Kleid	474	DRESS
rauben		
zürnen	2223	BE ANGRY
Beute, Kleid	474	DRESS
raufen, ausrupfen		
Rohr	2956	TUBE
Ruhm		
Kruste		
rösten	1962	ROAST (SOMETHING)
rot	156	RED
Sprache, Sprechweise, Zunge	1205	TONGUE
Haus	1252	HOUSE
kratzen, schaben	1767	SCRAPE
raten	1932	GUESS
Bestimmung, Plan		
reiten, in Bewegung sein	367	RIDE
mächtig	3001	POWERFUL
Reich, Herrschaft, Obrigkeit	712	RICH
herrschen über, beherrschen	1846	RULE
Herrscher, Obrigkeit	3377	EMPEROR
zittern	52	SHIVER
Zittern, Erdbeben, Beben	52	SHIVER
erheben		
Rat		
112		
Rippe, Riff	801	RIB
Kleid	474	DRESS
Strick		
Regen	658	RAIN (PRECIPITATION)
regnen, regnen lassen	1253	RAIN (RAINING)
häufen, anhäufen		
Ruhe	3458	SILENCE
rennen, laufen	1519	RUN
Gießbach		
Berg	639	MOUNTAIN
116		
Finsternis		
finster		
finster werden, dunkel werden		
Erheben		
zerreißen	1735	TEAR (SHRED)
erröten		
Röte		
Röte		
Vernichtung, Vergänglichkeit		
vergänglich, sterblich		
verderben	92	SPOIL (SOMEBODY OR SOMETHING)
120	3504	ONE HUNDRED AND TWENTY
122		
123		
128		
133		
148		
156		
Reden	2708	TALK
sprechen, reden	1623	SPEAK
Hof, Vorhof	4	COURTYARD
Rugier		
Roggen	23	RYE
Rocken, Spinnrocken		
Raum, Platz	3006	SPACE (AVAILABLE)
Rom		
Platz machen		
Platz werden		
Römer		
geräumig		
Geheimnis, Beschluss, Anschlag		
Beratung		
Lauf, Fluss	666	RIVER
Lauf, Fluss	666	RIVER
Lauf		
sich erbrechen	1278	VOMIT
Rost		
rot	156	RED
der, dieser	1214	THIS
weise	698	WISE
feine Leinwand		
Sabbat		
hundert	1634	HUNDRED
Saduzäer		
der, welcher		
Mann, Genosse	1554	MAN
senken		
Untergang, Westen	1817	WEST
Gesang, Musik	642	MUSIC
Gefolgsmann, Begleiter, Büttel, Ansager, Gerichtsbote, Verkünder		
Gefolgsmann, Begleiter, Büttel, Ansager, Gerichtsbote, Verkünder		
der und kein anderer, eben der, und dieser		
Korb	1539	BASKET
Schwert, Messer	1352	KNIFE
bestreitbar		
Vorwurf		
bestritten		
wer auch immer		
siehe		
säen	748	SOW SEEDS
sechs	1703	SIX
sechste		
sehen	1409	SEE
Seil	1218	ROPE
seilen		
zögern, säumen	3629	HESITATE
langsam, saumselig	701	SLOW
Gefolgsmann, Begleiter, Büttel, Ansager, Gerichtsbote, Verkünder		
Schmerz	1783	PAIN
Seele	811	SOUL
See, Marschland	624	LAKE
streiten, schelten, Vorwürfe machen	3302	QUARREL (VERB)
Streit		
Sack	2990	SACK
streitsüchtig		
Salbe	1926	OINTMENT
salben		
Salbe	1926	OINTMENT
leichtfertiges Geschwätz		
Herberge, Wohnung		
herbergen, bleiben, unterkommen, Herberge finden	987	REMAIN
opfern		
Saal		
Salz	1274	SALT
salzen		
gesalzen		
heil		
derselbe, der nämliche, sam		
gleichgesinnt		
desselben Geschlechts, verwandt		
gleich groß, derselbe		
auf gleiche Weise, gleichfalls, ebenfalls, desgleichen		
gleich, übereinstimmend, gleichlautend	2276	IDENTICAL
zusammen, gemeinschaftlich, zugleich	2482	TOGETHER
Übereinstimmung		
Samariter		
einmütig		
zusammen, nach demselben Ort hin	2482	TOGETHER
zu gefallen suchen, gefallen		
Sendung		
senden		
wahr, wahrhaftig	1657	TRUE
Waffen, Rüstung		
Setzung		
Gesetzter		
setzen, stellen, bestimmen, pflanzen	653	PLANT (VEGETATION)
satt	106	SATIATED
Krankheit, Sucht	1986	DISEASE
Sonne	1343	SUN
Beschmutzung		
schmutzig machen		
Sumpf, Schmutz	25	DIRT
schmutzig werden		
Säule		
Syrer		
Sorge, Kummer	1668	GRIEF
sorgen, bekümmert sein	253	CARE FOR
Syrerin		
Syrien		
dörren		
Grund, Weise	2968	REASON
Opfer	1103	SACRIFICE
Schenk		
Schaft		
Licht	630	LIGHT (RADIATION)
Schwert		
Sidoner		
Kraft		
selbstsüchtig, eigensüchtig		
sein	2473	HIS (GENITIVE OF HE)
täglich		
später		
spät	477	LATE
Tüchtigkeit, Güte, Milde		
gut, gütig, tauglich	1035	GOOD
Sitz		
Saat	714	SEED
du hast mich verlassen		
Sippenverhältnis, Verwandtschaft, Sippe		
gerecht, gesetzlich		
sich versöhnen		
sieben	1704	SEVEN
siebte, siebente		
siebzig	1721	SEVENTY
üben		
Sitte, Gewohnheit	1747	CUSTOM
sich freuen, frohlocken	1495	HAPPY
singen, vorlesen, rezitieren	1261	SING
Sieg	783	VICTORY
Siegeslohn, Siegespreis, Preis	657	PRICE
einen mit einem Siegel versehen, siegeln		
Siegel		
sinken	1088	SINK (DESCEND)
Sieg	783	VICTORY
sich		
Sekel		
still sein		
selbst	1993	SELF
Augenzeuge		
freiwillig		
selten, seltsam	209	RARE
Staunen, Verwunderung		
anstaunen, bewundern, staunen, sich wundern		
bewundert werden		
erstaunlich, wunderbar		
Silber	759	SILVER
silbern		
einst, vordem, vormals	2914	ONCE (IN THE PAST)
Senf		
alt	1229	OLD
ältester Diener, Altknecht, Seneschall		
alt	1229	OLD
immer, allezeit	1676	ALWAYS
täglich		
reisen, gehen	1443	WALK
Gang	2979	WALK (MANNER)
Schüler, Jünger		
Schüler sein		
klagen		
Totenklage		
sitzen	1416	SIT
Sitz, Stuhl, Wohnstätte, Nest	1476	CHAIR
sieden	792	BOIL (OF LIQUID)
nähen, annähen	1457	SEW
siechen, siech sein		
Krankheit, Seuche, Siechtum	1986	DISEASE
krank, schwach, siech	1601	WEAK
Seher		
sichtbar		
Gesicht, Sehen, Sehkraft, Gestalt, Erscheinung, Augenschein, Vision	1560	FACE
sichtbar		
Krebsmilbe		
schaben, scheren, abschneiden	1532	SHEAR
Schatten	1388	SHADE
Bedeckung		
beschatten		
sich bereit machen, sich anschicken		
Schaft		
geschaffen, bereit, fertig	790	READY
Geschöpf, Schaffung		
Schenk		
einschenken, schenken	196	DONATE
scheiden, trennen	1359	SEPARATE
Scheidung	1134	DIVORCE
geschieden werden, sich scheiden		
schirmen		
spotten		
Ausstattung, Ausrüstung		
Ziegel		
Knechtschaft, Dienst, Dienstbarkeit, Gottesdienst		
dienen	3648	SERVE (SOMEONE)
Knecht, Diener	812	SLAVE
Scham, Beschämung	1776	SHAME
sich schämen	1894	ASHAMED
Schande		
Schenk, Schenkdiener		
schaffen		
Schaft		
Scharte		
Scharführer		
reißen	1735	TEAR (SHRED)
Schuh	1381	SHOE
Stütze, Halt, Böschung	2994	SUPPORT (OF OBJECT)
Wechsler, Geldwechsler		
Geld, Geldstück, Mine	1559	MONEY
Schädling		
Schaden, Unrecht	2947	DAMAGE (INJURY)
schaden	2947	DAMAGE (INJURY)
schädlich		
Riemen, Schuhriemen	2973	STRAP
Gestalt		
anmutig		
Schaufel	1901	SHOVEL
Skorpion	1538	SCORPION
Zipfel, Schoß	3263	LAP
222		
Leuchte		
scheinen, leuchten, glänzen, aufblitzen	1521	SEEM
Auslegung, Erklärung		
Erklärer, Übersetzer		
auslegen, erklären	1626	EXPLAIN
klar, deutlich, hell	679	BRIGHT
scheißen		
wandern		
223		
Schild	1064	SHIELD
Fleischer, Metzger	2569	BUTCHER
Schelle, Glocke	2246	BELL
Schilling		
Schiff	740	SHIP
schieben	1452	PUSH
schießen	1172	SHOOT
Schuh, Sandale	1381	SHOE
böser Geist, Dämon		
Klippe		
Felsboden		
Schwert, Messer	1352	KNIFE
reißen	1735	TEAR (SHRED)
reißen	1735	TEAR (SHRED)
Haupthaar		
Spiegel	1171	MIRROR
Schuldner, Schuldiger		
schuldig sein, sollen, schulden, müssen	369	OWE
Erlaubnis, Schuld	134	FAULT
Geschuldetes, Schuld	134	FAULT
Späher		
Schaum	1768	FOAM
Schopf		
Schauer		
Skythe		
230		
Raufbold		
schlagen, hauen, ohrfeigen	3308	STRIKE (SOMEONE)
Schlag, Plage, Ohrfeige		
Stamm, Geschlecht	344	TREE TRUNK
schlicht, glatt	1234	SMOOTH
Fruchthülse		
Schlachten, Schlachtung	1796	SLAUGHTER
streifen		
schweigen	48	BE SILENT
Schlaffheit		
schlüpfen	3116	HATCH (OUT)
schleifen, schlüpfen	3116	HATCH (OUT)
Schaden	2947	DAMAGE (INJURY)
Gefahr	1810	DANGER
schädigen		
schlimm, gefährlich	419	SEVERE
schlafen	1585	SLEEP
Schlaf	2972	SLEEP (STATE)
schief		
schlingen		
schlüpfen	3116	HATCH (OUT)
zerreißen	1735	TEAR (SHRED)
schleichen, schlüpfen	3116	HATCH (OUT)
Fett, Schmer	323	FAT (ORGANIC SUBSTANCE)
Feige	322	FIG
Feigenbaum		
klein, gering	1246	SMALL
verdauen, zerfließen machen		
Schmelz		
Mist, Kot	675	FAECES (EXCREMENT)
streichen, schmieren	3122	PAINT (SOMETHING)
Schminke		
Schmied	1001	BLACKSMITH
bewirken		
Schmied	1001	BLACKSMITH
schmiegen		
Myrrhe		
247		
Gewand, Mantel, Oberkleid	603	COAT
zusammenziehen, sich biegen, krümmen		
Schnee	784	SNOW
zusammenziehen machen		
254		
schneiden, ernten	1432	CUT
schneien	1255	SNOWING
schnell	1631	FAST
Schnepfe		
eilen	2860	BOLT (MOVE IN HASTE)
schnell	1631	FAST
eilends, eilig		
eilen, überkommen	2860	BOLT (MOVE IN HASTE)
Bund, Band	2969	RIBBON
Korb, Netz	1539	BASKET
Schnur	362	STRING
Weisheit		
weise	698	WISE
Schwiegertochter, Verlobte	1057	DAUGHTER-IN-LAW
Forscher, Sucher		
Untersuchung		
Sucher		
suchen, disputieren, streiten	1468	LOOK FOR
Untersuchung, Disputation, Streitfrage, Grübelei		
streitig		
Sühne		
Sättigung		
sättigen		
Kämpfer		
Späher, Spion		
spähen		
Späher		
Speichel	1503	SALIVA
Sparren		
Sperling	1854	SPARROW
Sperling	1854	SPARROW
Sperber		
Sporn		
Rennbahn, Stadium		
spätere		
speien	1278	VOMIT
spät	477	LATE
Spieß		
Tafel, Schreibtafel, Gesetzestafel	3084	BLACKBOARD
Sage, Fabel		
Verkünder, Verkündiger		
künden, verkünden, erzählen	1711	TELL
spinnen	121	SPIN
Bratspieß		
Spieß		
Spule		
schnell, bald, ohne Zögern	1631	FAST
sprießen, hervorschießen		
Korb	1539	BASKET
zum Stehen bringen		
Element, Stab, Buchstabe	1024	CHARACTER
Stange	281	POST
stechen	571	STING
stoßen	1452	PUSH
Steig, Weg	2252	PATH
steinig		
steinern		
steinigen		
Stein, Fels	857	STONE
Stern	1430	STAR
die Unfruchtbare		
Stecken, Pfahl		
Steckung		
stecken		
anpfählen, anbinden	2891	TIE UP (TETHER)
Mal, Wundmal		
Haben	773	HAVE
haben, eignen	773	HAVE
habend, erwerbend		
Stall	851	STABLE
lallend, stammelnd		
Stampfe		
stampfen	3618	STAMP
stampfen	3618	STAMP
stehen	1442	STAND
Ziege	1502	GOAT
stark	785	STRONG
Steher		
Ufer, Gestade	3464	SHORE OF LAKE
Ständer		
Steher		
Stätte, Ort, Gegend, Platz, Raum	723	PLACE (POSITION)
Gerichtsstätte, Gericht, Urteil, Streitsache	1068	COURT
Richter	861	JUDGE
Richterstuhl		
verdorren		
stürmen		
Sturm	858	STORM
starr sein		
stoßen	1452	PUSH
zwanzig	1710	TWENTY
steigen	1102	CLIMB
Stimme	1363	VOICE
Steige		
Stengel		
stoßen, zusammenstoßen	1452	PUSH
Stecken		
stechen	571	STING
Stachel	3798	STINGER
Becher, Kelch	476	CUP
Stich, Punkt		
stehlen	713	STEAL
Stierkalb		
Pfahl, Steuerung		
Steuerung		
Pfahl, Steuerung		
gezügelt		
aufstellen, geltend machen, feststellen	3833	PUT (IN A STANDING POSITION)
gezügelt		
Geduld, geduldiges Ertragen		
Stehen	1442	STAND
richten, beurteilen	1818	ADJUDICATE
Stuhl, Thron	1476	CHAIR
Wesen, Gegenstand, Zuversicht, Erwartung, Grundlage, Stoff	1616	CLOTH
aufrechterhalten		
stet		
straffen		
Stroh	2299	STRAW
streuen, ausbreiten	38	SPREAD OUT
abstreifen		
streifen		
Scheiterhaufen zur Leichenfeier		
streichen	3122	PAINT (SOMETHING)
Nessel, Riemen	2973	STRAP
Strich	2993	STROKE (OF PEN)
Staub	2	DUST
stechen, stoßen	571	STING
Stoß		
Stich, Stoß		
Standplatz		
Zeitraum, Zeit	892	TIME
junger Krieger		
Stütze	2994	SUPPORT (OF OBJECT)
anbinden	2891	TIE UP (TETHER)
Sonne, sRune	1343	SUN
Sohle, Sandale	2666	SOLE (FOOT)
gründen		
einst, ehemals,, zum Teil	2914	ONCE (IN THE PAST)
irgendein, ein gewisser, jemand, ein, einige	1241	SOME
Sünde	2971	SIN
abgesondert, besonders, allein, beiseite	1964	ALONE
Wahrheit	1638	TRUTH
in Wahrheit		
wahr, wahrhaft	1657	TRUE
wahr	1657	TRUE
entschuldigen		
Verteidigung		
Sonne	1343	SUN
alsbald, plötzlich, auf einmal, bald, sogleich	703	SOON
sogleich	1963	IMMEDIATELY
sobald als		
südlich		
Sohn	1620	SON
Trank	731	BEVERAGE
saufen		
würzen, salzen		
eingetunkte Schnitte		
einweichen		
Magen	819	STOMACH
krank werden	2327	BECOME SICK
Sau		
Ruhe, Milde	3458	SILENCE
nachgiebig, mild		
kitzeln	3647	TICKLE (SOMEBODY)
kitzeln	3647	TICKLE (SOMEBODY)
so	2336	OF THIS KIND (SUCH)
so dass, daher, also		
schwanken machen		
so, so auch	2336	OF THIS KIND (SUCH)
Schwiegervater, Schwäher	1055	FATHER-IN-LAW
Schwiegermutter	1050	MOTHER-IN-LAW
wischen	3120	MOP (SOMETHING)
so groß, so viel		
so beschaffen, solch		
Schwellung		
schwellen	1573	SWELL
Schwamm		
Schwan	2837	SWAN
Schwörer		
schwören	1939	SWEAR
ohne Grund, vergebens, umsonst	1765	IN VAIN
Schwärze, Tinte		
Schwärze, Tinte		
schwärzen		
schwarz	163	BLACK
sowie, gleichwie, wie, gegen, so dass	1239	HOW
so nun		
so	2336	OF THIS KIND (SUCH)
wie, gegen, als, da	1239	HOW
Schwaben, Sweben		
Jubel, Frohlocken, Freude	2524	JOY
jubeln, triumphieren, frohlocken		
froh, fröhlich	1495	HAPPY
ablassen, aufhören	3351	STOP DOING
aufhörlich		
Schwein	1337	PIG
Sau		
Fegung		
fegen, sich schwingend bewegen	230	SWEEP
Schweden		
ehren, achten	3628	HONOR (SOMEBODY)
Ehre		
Ehre		
geehrt, geachtet, gewichtig		
eigen, angehörig		
Eigentum, Vermögen		
doch zwar, wenigstens		
Schwefel	3386	SULPHUR
sich schwingen		
Flöte	777	FLUTE
Flötenspieler, Flötenbläser		
Flöte blasen, aufspielen		
rein, reinen Herzens	1147	PURE
Reinheit, Keuschheit, Unschuld		
Reinigung		
Reinigung, Reinheit, Keuschheit		
reinigen	2235	CLEAN (SOMETHING)
rein, unschuldig, unsträflich, keusch	90	INNOCENT
offenbar, offen heraus, deutlich, ausdrücklich	989	CLEAR
bekanntgeben, offenbaren		
offenkundig, offenbar, bekannt	3005	FAMILIAR
schwellen	1573	SWELL
im Sterben liegen, sterben	1494	DIE
schwimmen	1439	SWIM
Stärke, Kraft	202	STRENGTH
stärken		
stark werden		
stark, kräftig, gesund	785	STRONG
Schwester	1263	SISTER
Synagogenvorsteher		
Synagoge		
rauschen, tönen	2877	RUSTLE (OF LEAVES)
seufzen		
seufzen		
Geräusch		
dem Tode Naher, Todgeweihter		
auf den Tod gerichtet, todgeweiht		
Tod	910	DEATH
Teich		
t, Abkürzung für 300		
Opfer, Opfertier	1103	SACRIFICE
Zottel, Fetzen, Flausch		
Haar	1040	HAIR
Zähre, Träne	1651	TEAR (OF EYE)
weinen	1839	CRY
zäh sein, streiten	3302	QUARREL (VERB)
Zerreißung		
reißen, zerren, ausstreuen	1735	TEAR (SHRED)
zäh		
rechte		
die Rechte, die rechte Hand	2183	RIGHT HAND
zehn	1515	TEN
zehnte		
hundertfältig		
hundert	1634	HUNDRED
zehnreihig		
Anzeichen		
