Gothic	Meaning
latjan	aufhalten, verzögern, lange dauern
lats	lässig, träge, faul
laþa	Ruf, Ladung
laþaleikō	gern
laþaleiks	gern
laþōn	einladen
laþōns	Einladung, Berufung, Trost, Erlösung
laubei	Glanz
laubja	Laubhütte
laubjan	erlauben
laubjōlaubi	Laube, Vorhalle, Dach
laudi	Gestalt
laufs	Laub, Blatt
laufs	wertvoll
laugnjan	leugnen
laugns	Verborgenheit
lauhatjan	blitzen
lauhmuni	Blitz
laun	Lohn, Belohnung, Dank
launawargs	undankbar
launi)	Lohn
laus	los, leer
lausawaúrdei	leeres Gerede, leeres Geschwätz
lausawaúrdi	leeres Gerede, leeres Geschwätz
lausawaúrds	leeres Geschwätz vollführend, hohler Schwätzer
lauseins	Lösung
laushandja	mit leeren Händen
laushandus	mit leeren Händen
lausjan	lösen, losmachen, retten, Geld erheben, Geld eintreiben, Geld zurückfordern, fordern, sich bezahlen lassen
lausqiþrei	Fasten
lausqiþrs	leeren Magens, nüchtern, ungespeist
lauþs	beschaffen, groß
leihts	leicht, leichtsinnig
leiƕansis)	leihen, borgen
leik	Körper, Leib, Leichnam, Fleisch
leikains	Gefallen, Gutdünken, Wohlgefallen, Vorsatz
leikan	gefallen
leikei	Gleichheit
leikeins	leiblich, fleischlich
lein	Leinen, Leinwand, Linnen
leis	kundig
leisei	Kunde
leista	Leiste
leitils	klein, wenig
leiþan	gehen
leiþu	Obstwein
lēkeis	Arzt
lēkinassus	Heilung
lēkinōn	heilen
leodes	Leute
lēt	Lassen
lētan	lassen, zurücklassen, zulassen
lētnan	gelassen werden
lēts	Gelassener
leuba	Liebe
leuda	Leute
leudis	Mann
lēw	Gelegenheit, Veranlassung, Anlass
lēwjan	verraten
libains	Leben
liban	leben
lif	Rest, Überbleibsel
lifnan	übrigbleiben
lifs	Leben, Leib
ligan	liegen, darniederliegen
ligrs	Lager, Bett, Beilager
lima	warum
lind	lind, mild
linda	Linde, Lindenschild
līs	leise, sanft
lisan	sammeln, lesen
liska	Schnitte
lista	zu wenig
listeigs	listig
lists	List
lita	Verstellung, Heuchelei
liteins	Bittgebet, Fürbitte
litjan	heucheln, sich verstellen
liþus	Glied
liubaleiks	lieblich
liudan	wachsen
liufs	lieb, geliebt
liug	Lüge
liuga	Heirat, Ehe
liugaiþs	verheiratet
liugan	heiraten
liugan	lügen, belügen
liugands	lügnerisch
liugn	Lüge
liugnapraufētus	Lügenprophet, falscher Prophet
liugnawaúrds	Lügen redend, lügnerisch
liugnja	Lügner
liuhadei	Erleuchtung, Licht
liuhadeins	Helle, Glanz
liuhadeins	hell
liuhaþ	Licht
liuhtjan	leuchten
liuhts	licht, strahlend, hell
liusan	lösen, los sein
liuta	Heuchler
liutei	Heuchelei, Betrug, Würfelspiel, Trugspiel
liuts	heuchlerisch, betrügerisch
liuþ	Lied
liuþāreis	Sänger
liuþōn	lobsingen, singen
liuþs	Mann, Leute
liwa	Löwe
lōfa	flache Hand
lōna	Lache
lōþr	Luder, Lockspeise
lubains	Hoffnung
luban	hoffen
lubi	Gift
lubjaleis	giftkundig, Zauberer
lubjaleisei	Giftmischerei, Zauberei, Giftkunde
lubō	Liebe
ludja	Angesicht, Antlitz
lufeis	schlaff, einfach
luftus	Luft
luk	Loch, Öffnung
lūkan	schließen
lukarn	Leuchte, Licht
lukarnastaþa	Leuchter
lūknan	sich schließen
luneins	Lösung
lunjan	lösen
luns	Lösegeld
lusnan	gelöst werden
lustōn	begehren, gelüsten
lusts	Lösung
lustus	Lust, Begierde, Verlangen
lustusama	ersehnt
lutōn	täuschen, betrügen, Verführer
m	m, Abkürzung für 40
magan	können, vermögen
magaþei	Jungfräulichkeit
magaþs	Jungfrau, Magd
magula	Knäblein, Knabe
magus	Knabe, Jüngling, Sohn, Knecht
mahteigs	mächtig, möglich, stark, Herrscher
mahts	Macht, Kraft, Vermögen, Wundertat
maideins	Tausch
maidjan	tauschen, verfälschen, Schacher treiben
maíhstus	Mist, Dünger
mail	Runzel
maímbrana	Pergament
mains	gemein, gemeinsam
mais	mehr, vielmehr
maist	höchstens
maists	meiste, größte, höchste
mait	Schneiden
maitan	schneiden, hauen
maiþms	Gabe, Geschenk
maiþs	verkrüppelt, verwundet
maiza	größere
maizō	mehr
mala	stark
malan	mahlen
malma	Sand
malō	Motte
malsks	töricht
malteins	Auflösung
maltjan	auflösen
malwjan	malmen
mammō	Fleisch
mammōna	Mammon, Reichtum
man	Mensch
managdūþs	Menge, Überfluss
managei	Menge, Volk
managfalþs	mannigfaltig
managjan	mehren, vermehren
managnan	reichlich vorhanden sein, Überfluss haben
manags	manch, viel, über
manamaúrþrja	Menschenmörder
manariggws	gezähmt
manasēþs	Menschensaat, Welt, Menschheit
manauli	Gestalt
manleika	Bild
manna	Mensch, Mann, mRune
manna	Manna
mannahun	jemand
manniskōdus	Menschlichkeit
mannisks	menschlich
manwiþa	Bereitschaft, Mittel
manwjan	bereiten, zurechtmachen
manwuba	bereit
manwus	bereit
mar	Meer
maranaþa	der Herr kommt
marei	Meer
marhs	Pferd
marhskalks	Pferdeknecht
marikreitus	Perle
marisaiws	Meersee, See
marka	Mark, Grenze
marka	Zeichen
markōn	bezeichnen
martwr	Märtyrer
marþus	Marder
marþus	Hochzeit
marzeins	Ärgernis
marzjan	ärgern, zum Ärgernis sein
masts	Mast
matibalgs	Ranzen, Speisesack, Speisetasche
matjan	essen, fressen
mats	Speise, Proviant, Mahl
maþa	Wurm, Made
maþa	gut
maþl	Versammlungsort, Marktplatz, Markt
maþlei	Rede, Redeweise
maþleis	Redner
maþljan	reden
maudjan	erinnern
mauiþs	ermüdet
maukō	Bauch
maur	Mohren...
maúrgins	Morgen
maúrgjan	kürzen
maúrgus	kurz
maúrnan	sorgen für, besorgt sein
maúrþr	Mord
maúrþrja	Mörder
maúrþrjan	morden
mawi	Mädchen, Jungfrau
mawilō	Mädchen, Jungfrau
me	45
mēgs	Eidam, Schwiegersohn
meins	mein
mēki	Schwert
mēl	Zeit, Stunde
mēl	Schrift, Mal, Zeichen, Schriftzeichen
mēla	Scheffel, Maß
mēleins	Schrift
mēli	Schrift
mēljan	schreiben, aufschreiben
mēna	Mond
mēnōþs	Monat
mēra	groß
mērei	Kunde, Ruf
mēreins	Verkündigung, Predigt
mēreis	groß, berühmt
mēriþa	Gerücht, Kunde
mērjan	künden, kund tun, verkünden, das Evangelium verkünden
mērjands	Verkündiger, Prediger, Herold
mērnan	bekannt werden
mēs	Tisch, Schüssel, Platte
mēt	Maß
midgardiwaddjus	Zwischenwand
midjasweipains	Überflutung, Sintflut, Überschwemmung
midjis	mittlere, mitten
midjungards	die bewohnte Erde, Erdkreis
miduma	Mitte
midumōn	vermitteln
midumōnds	Mittler
midus	Met
mikilaba	sehr, groß
mikildūþs	Größe
mikilei	Größe
mikiljan	preisen
mikilnan	verherrlicht werden
mikils	groß, stark, viel
mikilþūhts	hochmütig
mildeis	mild, freundlich
mildiþa	Milde, Herz, Mitleid
milhma	Wolke
militōn	Kriegsdienste tun
miliþ	Honig
miltan	schmelzen, sich auflösen
milti	Milz
miluks	Milch
mimz	Fleisch
minds	Denken
minnists	kleinste, geringste, mindeste
minniza	kleiner, geringer
mins	minder, weniger, geringer
minznan	abnehmen, sich mindern
missa	miss, verschieden
missadēþs	Missetat, Sünde
missaleiks	verschieden, mannigfaltig
missaquiss	Zwiespalt, Missrede, Streit
missataujan	missetun
missō	einander, wechselseitig
mitadjō	Maß
mitan	messen
mitaþs	Maß
mitōn	ermessen, bedenken, überlegen
mitōns	Überlegung, Gedanke
miþ	mit, bei, unter
miþanakumbjan	sich mit zu Tische legen, lagern
miþarbaidjan	mitarbeiten, leiden mit
miþfaginōn	sich mitfreuen
miþfrahinþan	mitgefangennehmen
miþgadauþnan	mitsterben
miþgaggan	mitgehen
miþgaleikōn	mitnachahmen
miþganawistrōn	mitbegraben
miþgaqiujan	mitbeleben
miþgasatjan	sich mithinsetzen, sich zusammensetzen
miþgaswiltan	mitsterben
miþgatimrjan	miterbauen
miþgatiuhan	mitfortziehen, mitführen
miþgawisan	zusammenverweilen, zusammen sein
miþinngaleiþan	mithineingehen
miþinsandjan	mitentsenden
miþkaúrjan	mitbelasten
miþliban	mitleben
miþlitjan	mitheucheln
miþmatjan	mitessen
miþniman	annehmen, gelten lassen
miþqiman	mitkommen
miþqiþan	mitsprechen, nachsprechen
miþrōdjan	mit jemandem reden
miþsandjan	senden
miþsatjan	versetzen
miþskalkinōn	Mitknecht sein, mitdienen
miþsōkjan	mitdisputieren, mit jemandem streiten
miþstandan	zusammenstehen mit
miþþan	inzwischen
miþþanei	während
miþþiudanōn	mitherrschen
miþurraisjan	mitaufrichten
miþurreisan	mitaufstehen
miþushramjan	mit jemandem kreuzigen
miþuskeinan	mitauskeimen, mithervorkeimen
miþweitwōdjan	mitbezeugen
miþwisan	beistehen, zu Hilfe kommen
miþwiss	bewusst
miþwissei	Mitwissen, Bewusstsein, Gewissen
miþwitan	bewusst sein
mizdō	Lohn
mōdags	zornig
mōjan	ermüden
mōta	Maut, Zoll, Zollhaus
mōtan	Raum finden, Erlaubnis haben, dürfen
mōtāreis	Zöllner
mōtastaþs	Mautstätte, Zollstätte, Zollhaus
mōtjan	begegnen
mōþs	Zorn, Mut
mōþs	mütig
mudw	Moder
mudweins	schimmelig, verdrießlich
mugan	schimmeln
muirjō	Ameise
mūkamōdei	Nachgiebigkeit, Sanftmut
mūkamōþs	sanftmütig
mūks	sanft, weich
mūlā	Maul
mulda	Staub
muldeins	von Staub, irdisch
mulma	Schlamm
mūlus	Maulwurf
munan	meinen, glauben, dafür halten
munan	zu tun gedenken, wollen
munda	Schutz
mundōn	sich einen besehen, sehen auf
mundrei	Ziel
mundrs	eifrig, zielstrebig
munds	Schutz
munds	Andenken, Gedächtnis
munnōn	denken, gedenken
muns	Gedanke, Meinung, Vorsatz, Ratschluss, Bereitwilligkeit, guter Wille, Beschluss, Entscheidung, Vorsorge, Absicht
munþs	Mund
mūs	Maus
mūstriggs	Fledermaus
n	n, Abkürzung für 50
nadrs	Natter
nagljan	nageln
nagls	Nagel
nah	es ist erlaubt
nahtamats	Abendessen, Abendmahl, Gastmahl, Nachtmahl
nahts	Nacht
naiteins	Lästerung
naitjan	lästern
namnjan	nennen
namō	Name
nanþ	Kühnheit
nanþjan	wagen
nanþs	kühn
naqadei	Nacktheit
naqaþs	nackt
nardus	Narde
naseins	Rettung, Heil
nasjan	retten
nasjands	Heiland, Retter
nastilō	Nestel
nati	Netz, kreisrundes Wurfnetz
natjan	netzen, benetzen
nats	nass
nauan	reiben
naubaimbair	November
naudibandi	Kette
naudiþaúrfts	notwendig
naudiþaúrfts	Notwendigkeit
naúh	noch
naúha	Genügsamkeit, Auskommen
naúhan	dürfen, erlaubt sein
naúhþan	noch
naúhþanuh	noch
naúhuþþan	und sogar noch
naúrþs	nördlich
naus	Toter
nauþjan	nötigen, zwingen
nauþs	Not, Zwang
nawis	tot
nawistr	Grab, Totenlager
nawistrōn	begraben
nawiswaran	totschwören
nb	52
ne	nein, nicht
nēdrō	Natter, Schlange
nēƕ	nahe
nēƕa	nahe
nēƕis	näher
nēƕjansik)	sich jemandem nähern
nēƕundi	Nähe
nēƕundja	Nächster
nei	nicht
neiþ	Neid
neiwan	es auf jemand abgesehen haben, grollen
nēm	Nehmen
nēmeigs	nehmend
nēms	nehmend
nēþla	Nadel
ni	nicht
nibai	doch nicht etwa, wenn nicht, es sei denn dass, ausgenommen
nidwa	Verzehren, Rost
nih	und nicht, auch nicht, nicht
niman	nehmen, annehmen, aufnehmen, empfangen, fangen
nisan	genesen, gerettet werden
nists	Rettung, Heil, Genesung
niþan	helfen, unterstützen
niþjis	Verwandter
niþjō	Verwandte
niþþan	und dann nicht, auch dann nicht
niu	nicht, nicht wahr
niuhseins	Heimsuchung
niuhsjan	auskundschaften, heimsuchen
niujan	erneuern, sich erneuern
niujasatiþs	Neubekehrter, Neuling
niujis	neu, jung
niujiþa	Neuheit
niuklahei	Kleinmut, Unverstand
niuklahs	unmündig, kindisch
niun	neun
niunda	neunte
niungeldo	Neungeld, neunfaches Entgelt
niuntēhund	neunzig
niutan	treffen, erreichen, einer Sache froh sein
niuþs	Verlangen
nōhjan	genügen
nōhnan	genügen
nōhs	genug
noicz	Not, nRune
nōta	Achterdeck, Schiffshinterteil
nū	nun, jetzt, also, folglich, demnach
nūh	denn
numja	Nehmer
numts	Nehmen, Annahme
nūnū	demnach, daher, also
nuta	Fänger, Fischer
nuts	nütz, nützlich, brauchbar
ō	ach, oh, pfui
ofts	hoch
ōgan	fürchten
ōgjan	einen schrecken, in Furcht setzen, erschrecken
ōsanna	hosianna, hilf doch
Ostrogoþi	Ostgoten
ōþal	Stammgut, Erbsitz, oRune
ōþli	Stammgut, Erbsitz, Heimat
oy	890
paida	Leibrock, Unterkleid, Rock
paidōn	bekleiden
paíntēdags	Donnerstag
paíntēkustē	Pfingsten
paírþra	pRune
papa	Presbyter, Geistlicher
paraklētus	Tröster
paraskaíwē	Rüsttag
pareinsdags	Freitag
parra	Spalier
paska	Ostern
paúrpura	Purpur
paúrpurōn	mit Purpur färben
paúrpurōþs	purpurn
pauta	Pfote
peika	Spitze
peikabagms	Palmbaum
pistikeins	unverfälscht, echt
plapja)	Straße
plat	Flicken, Lappen
plinsjan	tanzen
plōgs	Pflug
pragga	Beengung
praggan	drängen
praitōriaún	Prätorium, Gerichtshaus
praízbwtaírei	Ältestenrat, christliche Gemeindebehörde
praúfēteis	Prophetin
praúfētes	Prophet
praúfētja	Weissagung, Prophezeiung
praúfētjan	weissagen, prophezeien
psalmō	Psalm
puggs	Geldbeutel, Beutel
pund	Pfund
q	q, Abkürzung für 6
qainōn	weinen, trauern, beweinen, betrauern
qaírnus	Mühle
qaírrei	Sanftmut
qaírrus	sanft, freundlich
qaírþra	Apfelbaum, Köder, qRune
qaíru	Pfahl, Stachel
qaiwjan	Feuer anzünden, lebendig machen
qēniþs	beweibt
qēnjan	heiraten
qēns	Eheweib, Ehefrau, Frau
qēþs	aussprechbar
qidi	Rede
qilan	zur Ruhe kommen
qiman	kommen
qinakunds	weiblichen Geschlechts
qinein	Frauenzimmer, Weibchen
qineins	weiblichen Geschlechts
qinō	Weib, Frau
qiss	Rede
qisteins	Verderben
qistjan	verderben
qistnan	zugrunde gehen
qists	Verderbnis, Untergang
qiþan	sagen, meinen, bezeichnen, sprechen
qiþr	Magen
qiþuhaftō	Schwangere
qiþuhafts	schwanger
qiþus	Magen, Mutterschoß, Bauch
qiujan	beleben
qiunan	aufleben
qius	lebendig
qrammiþa	Feuchtigkeit
qramms	feucht
qums	Ankunft, Wiederkunft
qumþs	Kommen
r	r, Abkürzung für 100
rabbaúnei	Rabboni
rabbei	Rabbi
ragin	Rat, Beschluss
ragineis	Ratgeber, Ratsherr
ragini	Amt
raginōn	verwalten, herrschen
ragins	angeordnet
rahna	Raub
rahnjan	rechnen, berechnen, halten für, rechnen unter, anrechnen
rahtōn	darreichen
raida	Wagen, rRune
raideins	Anordnung
raidjan	verordnen, darbieten
raidjan	bewegen machen, tragen
raíhtaba	recht, richtig
raíhtei	Richtigkeit
raíhteins	Richtung, Wiederherstellung
raíhtis	nämlich, doch, etwa, vielmehr, ja doch, denn
raíhtiþa	Richtigkeit
raíhtjan	richten
raíhts	recht, gerade, gerecht
raip	Riemen
raisjan	aufrichten
raiþs	geordnet
rak	Rede
raka	Sorge
raka	Rechen
raka	eitler Mensch, Tor
rakjan	recken
ram	stark
rampa	Haken, Kralle
ran	Keil
randa	Rand
randus	Schild, Schildrand
ranneins	Laufen
rannjan	laufen machen
rapōn	raffen, rauben
rappa	Krätze, Räude
rasa	Ruhe
rasta	Meile
raþan	zählen
raþjan	reden
raþjō	Abrechnung, Rechenschaft, Zahl
raþs	leicht
rauba	Raub, Beute, Kleid
raubōn	rauben
raúhtjan	zürnen
raupa	Beute, Kleid
raupjan	raufen, ausrupfen
raus	Rohr
raus	Ruhm
rausa	Kruste
raustjan	rösten
rauþs	rot
razda	Sprache, Sprechweise, Zunge
razn	Haus
razzjan	kratzen, schaben
rēdan	raten
rēhsns	Bestimmung, Plan
reidan	reiten, in Bewegung sein
reikeis	mächtig
reiki	Reich, Herrschaft, Obrigkeit
reikinōn	herrschen über, beherrschen
reiks	Herrscher, Obrigkeit
reiran	zittern
reirō	Zittern, Erdbeben, Beben
reisan	erheben
rēþs	Rat
rib	112
ribja	Rippe, Riff
rift	Kleid
rigilō	Strick
rign	Regen
rignjan	regnen, regnen lassen
rikan	häufen, anhäufen
rimis	Ruhe
rinnan	rennen, laufen
rinnō	Gießbach
rintsch	Berg
riq	116
riqis	Finsternis
riqizeins	finster
riqizjan	finster werden, dunkel werden
rists	Erheben
riuban	zerreißen
riudan	erröten
riudei	Röte
riudi	Röte
riurei	Vernichtung, Vergänglichkeit
riureis	vergänglich, sterblich
riurjan	verderben
rk	120
rkb	122
rkg	123
rkh	128
rlg	133
rmh	148
rnq	156
rōdeins	Reden
rōdjan	sprechen, reden
rōhsns	Hof, Vorhof
Rugeis	Rugier
rugi	Roggen
rukka	Rocken, Spinnrocken
rūm	Raum, Platz
Rūma	Rom
rūman	Platz machen
rūmnan	Platz werden
Rūmōneis	Römer
rūms	geräumig
rūna	Geheimnis, Beschluss, Anschlag
rūni	Beratung
runjō	Lauf, Fluss
runs	Lauf, Fluss
runs	Lauf
rupatjan	sich erbrechen
rus	Rost
rusma	rot
sa	der, dieser
saba	weise
saban	feine Leinwand
sabbatō	Sabbat
sada	hundert
Saddukaieis	Saduzäer
saei	der, welcher
sag	Mann, Genosse
saggqjan	senken
saggqs	Untergang, Westen
saggws	Gesang, Musik
sagja	Gefolgsmann, Begleiter, Büttel, Ansager, Gerichtsbote, Verkünder
sagjis	Gefolgsmann, Begleiter, Büttel, Ansager, Gerichtsbote, Verkünder
sah	der und kein anderer, eben der, und dieser
sahrja	Korb
sahs	Schwert, Messer
sahtaba	bestreitbar
sahts	Vorwurf
sahts	bestritten
saƕazuh	wer auch immer
sai	siehe
sáian	säen
saíhs	sechs
saíhsta	sechste
saíƕan	sehen
sail	Seil
sailjan	seilen
sainjan	zögern, säumen
sainus	langsam, saumselig
saio	Gefolgsmann, Begleiter, Büttel, Ansager, Gerichtsbote, Verkünder
sair	Schmerz
saiwala	Seele
saiws	See, Marschland
sakan	streiten, schelten, Vorwürfe machen
sakjō	Streit
sakkus	Sack
sakuls	streitsüchtig
salba	Salbe
salbōn	salben
salbōns	Salbe
saldra	leichtfertiges Geschwätz
saliþwa	Herberge, Wohnung
saljan	herbergen, bleiben, unterkommen, Herberge finden
saljan	opfern
sals	Saal
salt	Salz
saltan	salzen
saltans	gesalzen
salwa	heil
sama	derselbe, der nämliche, sam
samafraþjis	gleichgesinnt
samakuns	desselben Geschlechts, verwandt
samalauþs	gleich groß, derselbe
samaleikō	auf gleiche Weise, gleichfalls, ebenfalls, desgleichen
samaleiks	gleich, übereinstimmend, gleichlautend
samana	zusammen, gemeinschaftlich, zugleich
samaqiss	Übereinstimmung
Samareitēs	Samariter
samasaiwals	einmütig
samaþ	zusammen, nach demselben Ort hin
samjan	zu gefallen suchen, gefallen
sanda	Sendung
sandjan	senden
sanþs	wahr, wahrhaftig
sarwa	Waffen, Rüstung
sateins	Setzung
satiþs	Gesetzter
satjan	setzen, stellen, bestimmen, pflanzen
saþs	satt
saúhts	Krankheit, Sucht
sáuil	Sonne
sauleins	Beschmutzung
sauljan	schmutzig machen
sauljō	Sumpf, Schmutz
saulnan	schmutzig werden
sauls	Säule
Saúr	Syrer
saúrga	Sorge, Kummer
saúrgan	sorgen, bekümmert sein
Saúrini	Syrerin
Saúrja	Syrien
saurjan	dörren
sauþa	Grund, Weise
sauþs	Opfer
scancia	Schenk
scaptus	Schaft
schediit	Licht
scrama	Schwert
Seidoneis	Sidoner
seil	Kraft
seinagaírns	selbstsüchtig, eigensüchtig
seins	sein
seiteins	täglich
seiþs	später
seiþus	spät
sēlei	Tüchtigkeit, Güte, Milde
sēls	gut, gütig, tauglich
sēti	Sitz
sēþs	Saat
sibakþani	du hast mich verlassen
sibja	Sippenverhältnis, Verwandtschaft, Sippe
sibjis	gerecht, gesetzlich
sibjōn	sich versöhnen
sibun	sieben
sibunda	siebte, siebente
sibuntēhund	siebzig
sidōnsis)	üben
sidus	Sitte, Gewohnheit
sifan	sich freuen, frohlocken
siggwan	singen, vorlesen, rezitieren
sigis	Sieg
sigislaun	Siegeslohn, Siegespreis, Preis
sigljan	einen mit einem Siegel versehen, siegeln
sigljō	Siegel
sigqan	sinken
sigus	Sieg
sik	sich
sikls	Sekel
silan	still sein
silba	selbst
silbasiuneis	Augenzeuge
silbawiljis	freiwillig
silda	selten, seltsam
sildaleik	Staunen, Verwunderung
sildaleikjan	anstaunen, bewundern, staunen, sich wundern
sildaleiknan	bewundert werden
sildaleiks	erstaunlich, wunderbar
silubr	Silber
silubreins	silbern
simlē	einst, vordem, vormals
sinaps	Senf
sineigs	alt
siniskalks	ältester Diener, Altknecht, Seneschall
sins	alt
sinteinō	immer, allezeit
sinteins	täglich
sinþan	reisen, gehen
sinþs	Gang
sipōneis	Schüler, Jünger
sipōnjan	Schüler sein
sis	klagen
sisi	Totenklage
sitan	sitzen
sitls	Sitz, Stuhl, Wohnstätte, Nest
siudan	sieden
siujan	nähen, annähen
siukan	siechen, siech sein
siukei	Krankheit, Seuche, Siechtum
siuks	krank, schwach, siech
siuneis	Seher
siuniba	sichtbar
siuns	Gesicht, Sehen, Sehkraft, Gestalt, Erscheinung, Augenschein, Vision
siuns	sichtbar
siurjō	Krebsmilbe
skaban	schaben, scheren, abschneiden
skadus	Schatten
skadweins	Bedeckung
skadwjan	beschatten
skaftjansik	sich bereit machen, sich anschicken
skafts	Schaft
skafts	geschaffen, bereit, fertig
skafts	Geschöpf, Schaffung
skagkja	Schenk
skagkjan	einschenken, schenken
skaidan	scheiden, trennen
skaideins	Scheidung
skaidnan	geschieden werden, sich scheiden
skaírmjan	schirmen
skaírnjan	spotten
skairpa	Ausstattung, Ausrüstung
skalja	Ziegel
skalkinassus	Knechtschaft, Dienst, Dienstbarkeit, Gottesdienst
skalkinōn	dienen
skalks	Knecht, Diener
skama	Scham, Beschämung
skamansik	sich schämen
skanda	Schande
skapja	Schenk, Schenkdiener
skapjan	schaffen
skapt	Schaft
skarda	Scharte
skarja	Scharführer
skarjan	reißen
skarpa	Schuh
skarpa	Stütze, Halt, Böschung
skattja	Wechsler, Geldwechsler
skatts	Geld, Geldstück, Mine
skaþaliggs	Schädling
skaþis	Schaden, Unrecht
skaþjan	schaden
skaþuls	schädlich
skaudaraip	Riemen, Schuhriemen
skaunei	Gestalt
skauns	anmutig
skaúrō	Schaufel
skaúrpjō	Skorpion
skauts	Zipfel, Schoß
skb	222
skeima	Leuchte
skeinan	scheinen, leuchten, glänzen, aufblitzen
skeireins	Auslegung, Erklärung
skeirja	Erklärer, Übersetzer
skeirjan	auslegen, erklären
skeirs	klar, deutlich, hell
skeitan	scheißen
skēwjan	wandern
skg	223
skildus	Schild
skilja	Fleischer, Metzger
skilla	Schelle, Glocke
skilliggs	Schilling
skip	Schiff
skiuban	schieben
skiutan	schießen
skōhs	Schuh, Sandale
skōhsl	böser Geist, Dämon
skorr	Klippe
skorristr	Felsboden
skramma	Schwert, Messer
skreitan	reißen
skritnan	reißen
skuft	Haupthaar
skuggwa	Spiegel
skula	Schuldner, Schuldiger
skulan	schuldig sein, sollen, schulden, müssen
skuld	Erlaubnis, Schuld
skuldō	Geschuldetes, Schuld
skulka	Späher
skūms	Schaum
skuppa	Schopf
skūra	Schauer
Skwþus	Skythe
sl	230
slahals	Raufbold
slahan	schlagen, hauen, ohrfeigen
slahs	Schlag, Plage, Ohrfeige
slahta	Stamm, Geschlecht
slaíhts	schlicht, glatt
slaufa	Fruchthülse
slaúhts	Schlachten, Schlachtung
slaupjan	streifen
slawan	schweigen
slawiþa	Schlaffheit
sleipan	schlüpfen
sleipjan	schleifen, schlüpfen
sleiþa	Schaden
sleiþei	Gefahr
sleiþjan	schädigen
sleiþs	schlimm, gefährlich
slēpan	schlafen
slēps	Schlaf
slimbs	schief
slindan	schlingen
slipjan	schlüpfen
slitjan	zerreißen
sliupan	schleichen, schlüpfen
smaírþr	Fett, Schmer
smakka	Feige
smakkabagms	Feigenbaum
smals	klein, gering
smaltjan	verdauen, zerfließen machen
smalts	Schmelz
smarna	Mist, Kot
smeitan	streichen, schmieren
smikwa	Schminke
smiþa	Schmied
smiþōn	bewirken
smiþs	Schmied
smiugan	schmiegen
smwrn	Myrrhe
smz	247
snaga	Gewand, Mantel, Oberkleid
snaírpan	zusammenziehen, sich biegen, krümmen
snaiws	Schnee
snarpjan	zusammenziehen machen
snd	254
sneiþan	schneiden, ernten
sneiwan	schneien
snills	schnell
snippa	Schnepfe
sniumjan	eilen
sniums	schnell
sniumundō	eilends, eilig
sniwan	eilen, überkommen
snōbō	Bund, Band
snōrjō	Korb, Netz
snōrs	Schnur
snutrei	Weisheit
snutrs	weise
snuzō	Schwiegertochter, Verlobte
sōkāreis	Forscher, Sucher
sōkeins	Untersuchung
sōkja	Sucher
sōkjan	suchen, disputieren, streiten
sōkns	Untersuchung, Disputation, Streitfrage, Grübelei
sōks	streitig
sōna	Sühne
sōþ	Sättigung
sōþjan	sättigen
spadingus	Kämpfer
spaíha	Späher, Spion
spaíhōn	spähen
spaíkulatur	Späher
spaiskuldr	Speichel
sparra	Sparren
sparuks	Sperling
sparwa	Sperling
sparwāreis	Sperber
spaúra	Sporn
spaúrds	Rennbahn, Stadium
spēdiza	spätere
speiwan	speien
spēþs	spät
speuts	Spieß
spilda	Tafel, Schreibtafel, Gesetzestafel
spill	Sage, Fabel
spilla	Verkünder, Verkündiger
spillōn	künden, verkünden, erzählen
spinnan	spinnen
spitus	Bratspieß
spiuts	Spieß
spōla	Spule
sprautō	schnell, bald, ohne Zögern
spriutan	sprießen, hervorschießen
spwreida	Korb
stadjan	zum Stehen bringen
stafs	Element, Stab, Buchstabe
stagga	Stange
staggan	stechen
stagqjan	stoßen
staiga	Steig, Weg
stainahs	steinig
staineins	steinern
stainjan	steinigen
stains	Stein, Fels
staírnō	Stern
staírō	die Unfruchtbare
staka	Stecken, Pfahl
stakeins	Steckung
stakjan	stecken
stakkōn	anpfählen, anbinden
staks	Mal, Wundmal
stald	Haben
staldan	haben, eignen
stalds	habend, erwerbend
stalla	Stall
stamms	lallend, stammelnd
stampa	Stampfe
stampjan	stampfen
stampōn	stampfen
standan	stehen
stap	Ziege
starks	stark
stasseis	Steher
staþa	Ufer, Gestade
staþa	Ständer
staþjis	Steher
staþs	Stätte, Ort, Gegend, Platz, Raum
stáua	Gerichtsstätte, Gericht, Urteil, Streitsache
stáua	Richter
stáuastōls	Richterstuhl
staúrknan	verdorren
staúrmjan	stürmen
staúrms	Sturm
staúrran	starr sein
stautan	stoßen
stega	zwanzig
steigan	steigen
stibna	Stimme
stiga	Steige
stiggils	Stengel
stigqan	stoßen, zusammenstoßen
stika	Stecken
stikan	stechen
stikils	Stachel
stikls	Becher, Kelch
stiks	Stich, Punkt
stilan	stehlen
stiur	Stierkalb
stiur	Pfahl, Steuerung
stiurei	Steuerung
stiuri	Pfahl, Steuerung
stiuriba	gezügelt
stiurjan	aufstellen, geltend machen, feststellen
stiurs	gezügelt
stiwiti	Geduld, geduldiges Ertragen
stōdeins	Stehen
stōjan	richten, beurteilen
stōls	Stuhl, Thron
stōma	Wesen, Gegenstand, Zuversicht, Erwartung, Grundlage, Stoff
stōþan	aufrechterhalten
stōþs	stet
strappōn	straffen
strau	Stroh
straujan	streuen, ausbreiten
straupjan	abstreifen
straupōn	streifen
